order_date,payment_type,order_count,payment_count
2016-09-04,Credit Card,1,1
2016-09-05,Credit Card,1,1
2016-09-13,Credit Card,1,1
2016-10-02,Credit Card,1,1
2016-10-03,Boleto,3,3
2016-10-03,Credit Card,5,5
2016-10-04,Boleto,11,11
2016-10-04,Credit Card,50,50
2016-10-04,Debit Card,1,1
2016-10-04,Voucher,2,8
2016-10-05,Boleto,13,13
2016-10-05,Credit Card,33,34
2016-10-05,Voucher,2,4
2016-10-06,Boleto,4,4
2016-10-06,Credit Card,46,46
2016-10-06,Debit Card,1,1
2016-10-07,Boleto,12,12
2016-10-07,Credit Card,34,34
2016-10-07,Voucher,1,1
2016-10-08,Boleto,6,6
2016-10-08,Credit Card,36,36
2016-10-08,Voucher,1,1
2016-10-09,Boleto,2,2
2016-10-09,Credit Card,23,23
2016-10-09,Voucher,2,3
2016-10-10,Boleto,12,12
2016-10-10,Credit Card,25,25
2016-10-10,Voucher,2,5
2016-10-22,Voucher,1,1
2016-12-23,Credit Card,1,1
2017-01-05,Boleto,29,29
2017-01-05,Credit Card,3,3
2017-01-06,Boleto,1,1
2017-01-06,Credit Card,3,3
2017-01-06,Voucher,1,4
2017-01-07,Credit Card,4,4
2017-01-08,Boleto,1,1
2017-01-08,Credit Card,5,5
2017-01-09,Boleto,2,2
2017-01-09,Credit Card,3,3
2017-01-10,Boleto,2,2
2017-01-10,Credit Card,4,4
2017-01-11,Boleto,2,2
2017-01-11,Credit Card,10,10
2017-01-12,Credit Card,11,11
2017-01-12,Debit Card,1,1
2017-01-12,Voucher,1,1
2017-01-13,Boleto,1,1
2017-01-13,Credit Card,11,11
2017-01-14,Credit Card,18,18
2017-01-15,Boleto,5,5
2017-01-15,Credit Card,9,9
2017-01-16,Boleto,2,2
2017-01-16,Credit Card,17,17
2017-01-17,Boleto,8,8
2017-01-17,Credit Card,23,23
2017-01-17,Debit Card,1,1
2017-01-17,Voucher,2,14
2017-01-18,Boleto,7,7
2017-01-18,Credit Card,23,23
2017-01-18,Debit Card,1,1
2017-01-18,Voucher,4,4
2017-01-19,Boleto,7,7
2017-01-19,Credit Card,19,19
