"tanggal";"product_category_name";"product_category_name_englishh";"jumlah"
"2016-09-15";"beleza_saude";"Health beauty";3
"2016-10-03";"esporte_lazer";"Sports leisure";2
"2016-10-03";"moveis_decoracao";"Furniture decor";2
"2016-10-03";"relogios_presentes";"Watches gifts";1
"2016-10-03";"brinquedos";"Toys";1
"2016-10-03";"fashion_calcados";"Fashion shoes";1
"2016-10-04";"moveis_decoracao";"Furniture decor";14
"2016-10-04";"beleza_saude";"Health beauty";10
"2016-10-04";"perfumaria";"Perfumery";7
"2016-10-04";"brinquedos";"Toys";5
"2016-10-04";"climatizacao";"Air conditioning";4
"2016-10-04";"consoles_games";"Consoles games";3
"2016-10-04";"esporte_lazer";"Sports leisure";3
"2016-10-04";"bebes";"Baby";3
"2016-10-04";"utilidades_domesticas";"Housewares";3
"2016-10-04";"cool_stuff";"Cool stuff";2
"2016-10-04";"cama_mesa_banho";"Bed bath table";2
"2016-10-04";"";"Unknown";1
"2016-10-04";"telefonia_fixa";"Fixed telephony";1
"2016-10-04";"informatica_acessorios";"Computers accessories";1
"2016-10-04";"moveis_escritorio";"Office furniture";1
"2016-10-04";"ferramentas_jardim";"Garden tools";1
"2016-10-04";"automotivo";"Auto";1
"2016-10-04";"telefonia";"Telephony";1
"2016-10-05";"moveis_decoracao";"Furniture decor";8
"2016-10-05";"brinquedos";"Toys";6
"2016-10-05";"market_place";"Market place";6
"2016-10-05";"climatizacao";"Air conditioning";4
"2016-10-05";"informatica_acessorios";"Computers accessories";3
"2016-10-05";"perfumaria";"Perfumery";3
"2016-10-05";"beleza_saude";"Health beauty";3
"2016-10-05";"telefonia";"Telephony";3
"2016-10-05";"automotivo";"Auto";3
"2016-10-05";"esporte_lazer";"Sports leisure";1
"2016-10-05";"industria_comercio_e_negocios";"Industry commerce and business";1
"2016-10-05";"cama_mesa_banho";"Bed bath table";1
"2016-10-05";"bebes";"Baby";1
"2016-10-05";"fashion_roupa_feminina";"Fashio female clothing";1
"2016-10-05";"fashion_roupa_masculina";"Fashion male clothing";1
"2016-10-05";"telefonia_fixa";"Fixed telephony";1
"2016-10-05";"consoles_games";"Consoles games";1
"2016-10-05";"moveis_escritorio";"Office furniture";1
"2016-10-06";"perfumaria";"Perfumery";7
"2016-10-06";"beleza_saude";"Health beauty";6
"2016-10-06";"moveis_decoracao";"Furniture decor";5
"2016-10-06";"fashion_bolsas_e_acessorios";"Fashion bags accessories";4
"2016-10-06";"brinquedos";"Toys";3
"2016-10-06";"esporte_lazer";"Sports leisure";3
"2016-10-06";"utilidades_domesticas";"Housewares";2
"2016-10-06";"relogios_presentes";"Watches gifts";2
"2016-10-06";"cool_stuff";"Cool stuff";2
"2016-10-06";"pet_shop";"Pet shop";2
"2016-10-06";"bebes";"Baby";2
"2016-10-06";"market_place";"Market place";2
"2016-10-06";"automotivo";"Auto";1
"2016-10-06";"telefonia";"Telephony";1
"2016-10-06";"telefonia_fixa";"Fixed telephony";1
"2016-10-06";"informatica_acessorios";"Computers accessories";1
"2016-10-06";"eletronicos";"Electronics";1
"2016-10-06";"ferramentas_jardim";"Garden tools";1
"2016-10-06";"cama_mesa_banho";"Bed bath table";1
"2016-10-07";"moveis_decoracao";"Furniture decor";6
"2016-10-07";"perfumaria";"Perfumery";6
"2016-10-07";"brinquedos";"Toys";5
"2016-10-07";"beleza_saude";"Health beauty";5
"2016-10-07";"cool_stuff";"Cool stuff";3
"2016-10-07";"bebes";"Baby";3
"2016-10-07";"utilidades_domesticas";"Housewares";3
"2016-10-07";"automotivo";"Auto";2
"2016-10-07";"informatica_acessorios";"Computers accessories";2
"2016-10-07";"audio";"Audio";1
"2016-10-07";"industria_comercio_e_negocios";"Industry commerce and business";1
"2016-10-07";"pet_shop";"Pet shop";1
"2016-10-07";"telefonia_fixa";"Fixed telephony";1
"2016-10-07";"telefonia";"Telephony";1
"2016-10-07";"moveis_escritorio";"Office furniture";1
"2016-10-07";"market_place";"Market place";1
"2016-10-07";"esporte_lazer";"Sports leisure";1
"2016-10-07";"ferramentas_jardim";"Garden tools";1
"2016-10-08";"moveis_decoracao";"Furniture decor";13
"2016-10-08";"beleza_saude";"Health beauty";6
"2016-10-08";"perfumaria";"Perfumery";4
"2016-10-08";"informatica_acessorios";"Computers accessories";3
"2016-10-08";"industria_comercio_e_negocios";"Industry commerce and business";2
"2016-10-08";"utilidades_domesticas";"Housewares";2
"2016-10-08";"bebes";"Baby";2
"2016-10-08";"esporte_lazer";"Sports leisure";2
"2016-10-08";"ferramentas_jardim";"Garden tools";1
"2016-10-08";"moveis_escritorio";"Office furniture";1
"2016-10-08";"consoles_games";"Consoles games";1
"2016-10-08";"fashion_bolsas_e_acessorios";"Fashion bags accessories";1
"2016-10-08";"";"Unknown";1
"2016-10-08";"relogios_presentes";"Watches gifts";1
"2016-10-08";"fraldas_higiene";"Diapers and hygiene";1
"2016-10-09";"moveis_decoracao";"Furniture decor";8
"2016-10-09";"beleza_saude";"Health beauty";4
"2016-10-09";"cama_mesa_banho";"Bed bath table";4
