"order_month";"Average_Order_Value_NET";"Average_Order_Value_GROSS"
"2016-09";134.97;143.46
"2016-10";152.17;175.44
"2016-12";10.9;19.62
"2017-01";149.06;169.98
"2017-02";141.7;164.09
"2017-03";141.08;162.74
"2017-04";147.92;169.7
"2017-05";138.0;159.86
"2017-06";134.58;156.32
"2017-07";124.38;146.25
"2017-08";132.29;154.03
"2017-09";146.36;168.93
"2017-10";144.76;167.73
"2017-11";135.51;158.23
"2017-12";131.69;152.93
"2018-01";130.8;152.48
"2018-02";126.08;147.39
"2018-03";136.14;160.02
"2018-04";143.21;166.65
"2018-05";144.84;167.25
"2018-06";140.36;165.93
"2018-07";140.92;166.88
"2018-08";132.04;155.17
