"order_date";"Average_Order_Value_NET";"Average_Order_Value_GROSS"
"2016-09-15";134.97;143.46
"2016-10-03";63.14;79.93
"2016-10-04";159.18;181.88
"2016-10-05";176.28;205.99
"2016-10-06";143.66;165.83
"2016-10-07";159.88;179.59
"2016-10-08";210.91;235.44
"2016-10-09";119.99;145.21
"2016-10-10";92.93;114.61
"2016-12-23";10.9;19.62
"2017-01-05";12.4;22.1
"2017-01-06";229.1;247.07
"2017-01-07";337.98;362.0
"2017-01-08";112.45;126.96
"2017-01-09";134.76;154.9
"2017-01-10";239.15;261.86
"2017-01-11";185.53;209.88
"2017-01-12";123.22;143.36
"2017-01-13";245.07;271.29
"2017-01-14";54.81;72.08
"2017-01-15";157.11;182.24
"2017-01-16";181.95;203.59
"2017-01-17";103.2;121.68
"2017-01-18";107.22;127.06
"2017-01-19";122.55;142.76
"2017-01-20";144.14;166.29
"2017-01-21";105.17;131.72
"2017-01-22";120.64;138.06
"2017-01-23";174.98;200.6
"2017-01-24";135.67;156.4
"2017-01-25";124.82;143.79
"2017-01-26";157.41;180.79
"2017-01-27";189.47;211.16
"2017-01-28";180.57;203.93
"2017-01-29";186.46;206.06
"2017-01-30";213.36;234.94
"2017-01-31";163.7;184.66
"2017-02-01";123.59;144.08
"2017-02-02";131.55;154.24
"2017-02-03";178.55;199.95
"2017-02-04";212.49;239.38
"2017-02-05";113.61;135.61
"2017-02-06";120.51;139.65
"2017-02-07";126.9;148.19
"2017-02-08";139.16;162.85
"2017-02-09";122.9;144.77
"2017-02-10";208.61;229.94
"2017-02-11";95.72;116.29
"2017-02-12";244.63;268.69
"2017-02-13";136.98;164.52
"2017-02-14";164.93;187.24
"2017-02-15";116.55;138.11
"2017-02-16";118.84;139.64
"2017-02-17";151.14;179.09
"2017-02-18";140.33;162.52
"2017-02-19";96.35;113.4
"2017-02-20";121.3;140.98
"2017-02-21";205.72;230.31
"2017-02-22";111.99;132.55
"2017-02-23";110.02;136.68
"2017-02-24";110.5;129.65
"2017-02-25";91.63;111.48
"2017-02-26";122.2;145.26
"2017-02-27";140.59;163.95
"2017-02-28";201.92;226.27
"2017-03-01";131.22;152.59
"2017-03-02";169.16;190.54
"2017-03-03";171.73;193.32
"2017-03-04";124.56;145.29
"2017-03-05";99.45;120.78
"2017-03-06";91.68;112.82
"2017-03-07";146.01;169.1
"2017-03-08";180.53;202.39
"2017-03-09";124.74;147.75
"2017-03-10";141.86;166.74
"2017-03-11";154.61;177.79
"2017-03-12";103.11;122.41
"2017-03-13";157.23;178.49
"2017-03-14";146.69;170.22
"2017-03-15";142.2;163.15
"2017-03-16";141.34;164.64
"2017-03-17";186.1;211.28
"2017-03-18";227.41;247.73
"2017-03-19";118.74;138.0
"2017-03-20";149.21;171.04
"2017-03-21";122.95;143.12
"2017-03-22";136.07;157.1
"2017-03-23";153.08;175.27
"2017-03-24";134.59;154.06
"2017-03-25";129.19;151.34
"2017-03-26";96.84;116.78
"2017-03-27";151.27;173.06
"2017-03-28";118.96;140.98
"2017-03-29";113.39;134.19
"2017-03-30";136.05;155.17
"2017-03-31";176.39;198.62
"2017-04-01";265.43;285.79
"2017-04-02";140.62;163.27
"2017-04-03";130.05;151.47
"2017-04-04";128.14;147.43
"2017-04-05";197.08;215.91
"2017-04-06";207.94;227.89
"2017-04-07";157.71;178.12
"2017-04-08";132.14;151.38
"2017-04-09";113.47;133.49
"2017-04-10";135.46;155.35
"2017-04-11";95.52;115.08
"2017-04-12";127.71;146.31
"2017-04-13";161.52;186.9
"2017-04-14";142.64;169.17
"2017-04-15";167.55;188.28
"2017-04-16";106.94;128.65
"2017-04-17";128.14;148.76
"2017-04-18";299.81;330.05
"2017-04-19";126.41;145.46
"2017-04-20";135.17;158.92
"2017-04-21";127.67;152.25
"2017-04-22";155.62;179.72
"2017-04-23";117.91;136.98
"2017-04-24";118.43;140.32
"2017-04-25";129.69;152.23
"2017-04-26";125.95;147.85
"2017-04-27";126.96;153.01
"2017-04-28";164.06;187.4
"2017-04-29";165.34;189.94
"2017-04-30";120.93;140.75
"2017-05-01";106.19;125.43
"2017-05-02";141.84;163.16
"2017-05-03";99.38;119.86
"2017-05-04";126.11;147.46
"2017-05-05";130.98;152.91
"2017-05-06";139.11;161.08
"2017-05-07";159.84;183.09
"2017-05-08";132.28;155.9
"2017-05-09";171.05;195.73
"2017-05-10";187.58;207.7
"2017-05-11";145.63;169.69
"2017-05-12";111.02;132.56
"2017-05-13";124.69;145.86
"2017-05-14";131.96;152.87
"2017-05-15";118.65;141.26
"2017-05-16";141.28;162.45
"2017-05-17";130.44;151.99
"2017-05-18";146.82;167.75
"2017-05-19";124.93;146.26
"2017-05-20";150.55;174.72
"2017-05-21";118.45;138.37
"2017-05-22";165.31;188.36
"2017-05-23";143.72;165.95
"2017-05-24";166.51;189.46
"2017-05-25";146.46;168.78
"2017-05-26";135.21;159.04
"2017-05-27";173.26;196.86
"2017-05-28";94.52;113.34
"2017-05-29";117.02;136.56
"2017-05-30";137.73;160.54
"2017-05-31";162.97;185.95
"2017-06-01";156.81;176.67
"2017-06-02";151.2;170.84
"2017-06-03";118.56;139.01
"2017-06-04";138.32;158.6
"2017-06-05";163.41;182.89
"2017-06-06";105.94;125.97
"2017-06-07";102.45;123.79
"2017-06-08";137.16;163.53
"2017-06-09";151.63;175.65
"2017-06-10";110.3;131.49
"2017-06-11";127.16;147.63
"2017-06-12";118.02;138.15
"2017-06-13";114.08;134.59
"2017-06-14";158.67;181.13
"2017-06-15";117.28;137.29
"2017-06-16";135.34;154.76
"2017-06-17";153.12;173.25
"2017-06-18";180.53;201.8
"2017-06-19";146.26;166.57
"2017-06-20";118.43;151.71
"2017-06-21";180.46;211.65
"2017-06-22";101.91;122.4
"2017-06-23";123.2;146.06
"2017-06-24";110.09;132.18
"2017-06-25";171.72;200.62
"2017-06-26";193.7;218.38
"2017-06-27";119.15;139.83
"2017-06-28";123.74;143.69
"2017-06-29";110.63;129.77
"2017-06-30";136.96;158.61
"2017-07-01";148.5;173.47
"2017-07-02";110.01;130.68
"2017-07-03";136.95;159.5
"2017-07-04";126.83;146.89
"2017-07-05";148.79;172.79
"2017-07-06";149.08;172.63
"2017-07-07";115.43;137.26
"2017-07-08";122.97;143.34
"2017-07-09";91.71;112.68
"2017-07-10";123.76;145.7
"2017-07-11";121.11;143.05
"2017-07-12";128.03;150.05
"2017-07-13";109.36;134.93
"2017-07-14";125.64;146.39
"2017-07-15";112.17;134.75
"2017-07-16";118.02;140.98
"2017-07-17";131.79;155.15
"2017-07-18";148.59;169.39
"2017-07-19";109.27;130.42
"2017-07-20";128.34;151.31
"2017-07-21";112.76;133.19
"2017-07-22";131.34;152.63
"2017-07-23";117.33;135.47
"2017-07-24";115.82;135.67
"2017-07-25";115.79;136.33
"2017-07-26";92.37;114.12
"2017-07-27";128.25;152.4
"2017-07-28";149.84;173.91
"2017-07-29";138.79;159.88
"2017-07-30";106.58;126.22
"2017-07-31";118.71;140.4
"2017-08-01";132.43;154.09
"2017-08-02";119.44;138.75
"2017-08-03";126.98;147.62
"2017-08-04";128.87;151.89
"2017-08-05";104.37;126.4
"2017-08-06";122.88;145.77
"2017-08-07";148.14;169.61
"2017-08-08";127.82;147.45
"2017-08-09";143.77;166.41
"2017-08-10";129.0;150.62
"2017-08-11";142.23;165.86
"2017-08-12";136.09;158.61
"2017-08-13";136.05;159.71
"2017-08-14";117.03;138.85
"2017-08-15";122.65;144.54
"2017-08-16";123.26;146.71
"2017-08-17";116.46;138.02
"2017-08-18";118.68;138.4
"2017-08-19";121.16;141.67
"2017-08-20";124.99;145.2
"2017-08-21";124.89;146.33
"2017-08-22";122.74;145.78
"2017-08-23";143.01;167.51
"2017-08-24";106.67;127.66
"2017-08-25";123.61;141.79
"2017-08-26";110.09;130.99
"2017-08-27";112.11;134.04
"2017-08-28";142.12;164.25
"2017-08-29";246.2;270.06
"2017-08-30";168.3;191.12
"2017-08-31";139.22;159.61
"2017-09-01";182.9;207.6
"2017-09-02";175.61;198.2
"2017-09-03";224.52;249.99
"2017-09-04";168.42;191.75
"2017-09-05";136.92;159.32
"2017-09-06";181.9;204.74
"2017-09-07";174.16;196.87
"2017-09-08";103.46;126.6
"2017-09-09";141.31;165.83
"2017-09-10";129.88;151.83
"2017-09-11";132.08;152.37
"2017-09-12";132.16;157.43
"2017-09-13";134.3;155.24
"2017-09-14";136.13;159.86
"2017-09-15";124.72;146.19
"2017-09-16";151.73;174.07
"2017-09-17";159.84;182.61
"2017-09-18";152.13;173.96
"2017-09-19";131.66;153.74
"2017-09-20";138.06;162.6
"2017-09-21";126.75;149.19
"2017-09-22";115.7;136.15
"2017-09-23";120.01;142.35
"2017-09-24";115.36;137.24
"2017-09-25";135.68;157.87
"2017-09-26";121.27;141.19
"2017-09-27";143.38;167.24
"2017-09-28";164.24;186.02
"2017-09-29";260.55;285.1
"2017-09-30";111.0;130.54
"2017-10-01";145.63;169.75
"2017-10-02";153.93;178.12
"2017-10-03";131.93;153.61
"2017-10-04";134.44;157.17
"2017-10-05";180.08;205.6
"2017-10-06";137.04;160.29
"2017-10-07";149.41;172.23
"2017-10-08";133.38;156.65
"2017-10-09";154.28;178.51
"2017-10-10";159.31;179.72
"2017-10-11";124.08;144.69
"2017-10-12";134.94;159.74
"2017-10-13";148.27;171.38
"2017-10-14";115.45;137.85
"2017-10-15";158.96;180.32
"2017-10-16";159.79;183.15
"2017-10-17";150.57;175.98
"2017-10-18";154.87;178.99
"2017-10-19";134.47;155.73
"2017-10-20";156.98;181.66
"2017-10-21";137.82;161.52
"2017-10-22";126.28;148.29
"2017-10-23";142.65;165.31
"2017-10-24";136.02;158.5
"2017-10-25";114.46;135.49
"2017-10-26";151.81;178.13
"2017-10-27";156.3;177.52
"2017-10-28";192.16;220.49
"2017-10-29";132.16;155.41
