"order_date";"Jml_Transaksi"
"2016-09-15";3
"2016-10-03";7
"2016-10-04";63
"2016-10-05";48
"2016-10-06";47
"2016-10-07";44
"2016-10-08";41
"2016-10-09";26
"2016-10-10";37
"2016-12-23";1
"2017-01-05";32
"2017-01-06";4
"2017-01-07";5
"2017-01-08";4
"2017-01-09";6
"2017-01-10";6
"2017-01-11";10
"2017-01-12";14
"2017-01-13";10
"2017-01-14";16
"2017-01-15";21
"2017-01-16";23
"2017-01-17";37
"2017-01-18";32
"2017-01-19";35
"2017-01-20";39
"2017-01-21";34
"2017-01-22";33
"2017-01-23";51
"2017-01-24";42
"2017-01-25";63
"2017-01-26";97
"2017-01-27";74
"2017-01-28";29
"2017-01-29";44
"2017-01-30";72
"2017-01-31";80
"2017-02-01";64
"2017-02-02";74
"2017-02-03";58
"2017-02-04";70
"2017-02-05";82
"2017-02-06";84
"2017-02-07";123
"2017-02-08";92
"2017-02-09";78
"2017-02-10";70
"2017-02-11";51
"2017-02-12";64
"2017-02-13";86
"2017-02-14";75
"2017-02-15";59
"2017-02-16";54
"2017-02-17";56
"2017-02-18";63
"2017-02-19";41
"2017-02-20";67
"2017-02-21";41
"2017-02-22";58
"2017-02-23";70
"2017-02-24";70
"2017-02-25";43
"2017-02-26";49
"2017-02-27";51
"2017-02-28";65
"2017-03-01";111
"2017-03-02";73
"2017-03-03";80
"2017-03-04";77
"2017-03-05";77
"2017-03-06";109
"2017-03-07";95
"2017-03-08";81
"2017-03-09";110
"2017-03-10";95
"2017-03-11";77
"2017-03-12";70
"2017-03-13";109
"2017-03-14";110
"2017-03-15";115
"2017-03-16";124
"2017-03-17";78
"2017-03-18";74
"2017-03-19";59
"2017-03-20";124
"2017-03-21";103
"2017-03-22";121
"2017-03-23";128
"2017-03-24";83
"2017-03-25";82
"2017-03-26";68
"2017-03-27";118
"2017-03-28";110
"2017-03-29";83
"2017-03-30";81
"2017-03-31";72
"2017-04-01";68
"2017-04-02";77
"2017-04-03";78
"2017-04-04";109
"2017-04-05";99
"2017-04-06";100
"2017-04-07";92
"2017-04-08";69
"2017-04-09";73
"2017-04-10";92
"2017-04-11";80
"2017-04-12";64
"2017-04-13";64
"2017-04-14";54
"2017-04-15";52
"2017-04-16";50
"2017-04-17";61
"2017-04-18";84
"2017-04-19";108
"2017-04-20";107
"2017-04-21";75
"2017-04-22";93
"2017-04-23";89
"2017-04-24";125
"2017-04-25";118
"2017-04-26";136
"2017-04-27";96
"2017-04-28";104
"2017-04-29";83
"2017-04-30";69
"2017-05-01";126
"2017-05-02";133
"2017-05-03";110
"2017-05-04";121
"2017-05-05";117
"2017-05-06";123
"2017-05-07";110
"2017-05-08";140
