"order_month";"NET";"Gross"
"2016-09";134.97;143.46
"2016-10";40325.11;46490.66
"2016-12";10.9;19.62
"2017-01";111798.36;127482.37
"2017-02";234223.4;271239.32
"2017-03";359198.85;414330.95
"2017-04";340669.68;390812.4
"2017-05";489338.25;566851.4
"2017-06";421923.37;490050.37
"2017-07";481604.52;566299.08
"2017-08";554699.7;645832.36
"2017-09";607399.67;701077.49
"2017-10";648247.65;751117.01
"2017-11";987765.37;1153364.2
"2017-12";726033.19;843078.29
"2018-01";924645.0;1077887.46
"2018-02";826437.13;966168.41
"2018-03";953356.25;1120598.24
"2018-04";973534.09;1132878.93
"2018-05";977544.69;1128774.52
"2018-06";856077.86;1011978.29
"2018-07";867953.46;1027807.28
"2018-08";838576.64;985491.64
