"order_date";"NET";"Gross"
"2016-09-15";134.97;143.46
"2016-10-03";441.98;559.53
"2016-10-04";8595.89;9821.42
"2016-10-05";6169.77;7209.5
"2016-10-06";5889.96;6798.9
"2016-10-07";6075.35;6824.46
"2016-10-08";7592.89;8475.93
"2016-10-09";2399.7;2904.19
"2016-10-10";3159.57;3896.73
"2016-12-23";10.9;19.62
"2017-01-05";396.9;707.27
"2017-01-06";916.38;988.28
"2017-01-07";1351.9;1447.99
"2017-01-08";449.78;507.85
"2017-01-09";673.79;774.51
"2017-01-10";1434.87;1571.17
"2017-01-11";1855.27;2098.78
"2017-01-12";1478.59;1720.35
"2017-01-13";2450.68;2712.86
"2017-01-14";876.89;1153.29
"2017-01-15";2199.57;2551.34
"2017-01-16";3275.02;3664.54
"2017-01-17";3302.53;3893.61
"2017-01-18";3216.49;3811.68
"2017-01-19";3553.95;4140.16
"2017-01-20";4035.83;4656.05
"2017-01-21";2313.71;2897.87
"2017-01-22";3619.27;4141.87
"2017-01-23";6299.22;7221.59
"2017-01-24";5155.3;5943.21
"2017-01-25";7114.95;8196.07
"2017-01-26";12907.97;14824.8
"2017-01-27";11178.95;12458.15
"2017-01-28";5056.01;5710.01
"2017-01-29";5966.76;6593.76
"2017-01-30";10241.15;11277.15
"2017-01-31";10476.63;11818.16
"2017-02-01";7538.77;8788.7
"2017-02-02";8813.65;10334.07
"2017-02-03";9641.82;10797.08
"2017-02-04";13599.27;15320.15
"2017-02-05";8406.89;10035.21
"2017-02-06";9399.76;10892.49
"2017-02-07";13704.69;16004.01
"2017-02-08";11550.69;13516.29
"2017-02-09";8971.6;10568.42
"2017-02-10";13142.34;14486.49
"2017-02-11";4307.56;5233.15
"2017-02-12";14922.35;16389.82
"2017-02-13";10136.15;12174.71
"2017-02-14";10885.41;12357.96
"2017-02-15";6526.87;7734.14
"2017-02-16";5823.14;6842.42
"2017-02-17";6801.26;8059.21
"2017-02-18";7297.33;8451.14
"2017-02-19";3564.83;4195.81
"2017-02-20";7156.41;8318.07
"2017-02-21";8023.17;8982.23
"2017-02-22";5935.72;7024.96
"2017-02-23";6271.34;7790.55
"2017-02-24";6630.12;7779.2
"2017-02-25";3573.69;4347.75
"2017-02-26";5132.49;6101.02
"2017-02-27";5764.32;6721.86
"2017-02-28";10701.76;11992.41
"2017-03-01";12203.41;14190.98
"2017-03-02";11164.5;12575.46
"2017-03-03";12364.44;13919.14
"2017-03-04";8594.74;10024.79
"2017-03-05";6662.93;8092.32
"2017-03-06";8618.04;10605.15
"2017-03-07";11388.62;13190.06
"2017-03-08";13178.97;14774.64
"2017-03-09";10976.84;13001.78
"2017-03-10";11916.08;14005.74
"2017-03-11";10513.41;12089.77
"2017-03-12";6496.17;7711.89
"2017-03-13";16351.46;18563.44
"2017-03-14";13935.57;16171.19
"2017-03-15";14362.04;16477.95
"2017-03-16";14134.44;16463.94
"2017-03-17";11910.5;13522.03
"2017-03-18";16145.92;17588.75
"2017-03-19";6649.34;7728.08
"2017-03-20";16861.09;19327.85
"2017-03-21";11311.15;13166.64
"2017-03-22";14150.98;16338.04
"2017-03-23";16073.78;18402.83
"2017-03-24";10094.57;11554.4
"2017-03-25";9301.89;10896.76
"2017-03-26";6101.05;7356.92
"2017-03-27";16186.17;18517.1
"2017-03-28";11420.22;13533.92
"2017-03-29";8164.14;9662.03
"2017-03-30";9795.61;11172.34
"2017-03-31";12170.78;13705.02
"2017-04-01";17518.47;18862.37
"2017-04-02";8999.89;10449.4
"2017-04-03";8843.07;10300.27
"2017-04-04";12301.65;14152.99
"2017-04-05";18328.24;20080.09
"2017-04-06";19130.49;20966.29
"2017-04-07";12932.49;14605.91
"2017-04-08";8457.09;9688.06
"2017-04-09";7715.85;9077.65
"2017-04-10";11378.51;13049.66
"2017-04-11";6972.61;8400.58
"2017-04-12";7790.21;8925.15
"2017-04-13";9691.43;11213.93
"2017-04-14";6704.19;7950.88
"2017-04-15";8210.19;9225.82
"2017-04-16";5025.96;6046.41
"2017-04-17";7432.09;8628.01
"2017-04-18";21286.72;23433.86
"2017-04-19";11755.68;13527.61
"2017-04-20";12300.64;14461.9
"2017-04-21";8426.27;10048.39
"2017-04-22";12761.18;14736.68
"2017-04-23";9904.05;11506.54
"2017-04-24";13026.85;15435.6
"2017-04-25";13747.46;16136.78
"2017-04-26";15365.59;18037.64
"2017-04-27";9521.93;11475.53
"2017-04-28";15585.79;17803.15
"2017-04-29";11573.73;13295.69
"2017-04-30";7981.36;9289.56
"2017-05-01";11786.89;13923.19
"2017-05-02";17304.91;19905.34
"2017-05-03";10037.06;12105.77
"2017-05-04";13493.56;15778.17
"2017-05-05";13622.07;15902.53
"2017-05-06";14328.28;16591.62
"2017-05-07";16303.38;18674.86
"2017-05-08";15873.06;18708.37
