"order_date";"order_hour";"total_orders"
"2016-09-15";12;1
"2016-10-03";22;4
"2016-10-04";13;8
"2016-10-05";8;4
"2016-10-06";9;3
"2016-10-07";10;9
"2016-10-08";21;4
"2016-10-09";22;9
"2016-10-10";15;6
"2016-12-23";23;1
"2017-01-05";13;12
"2017-01-06";21;2
"2017-01-07";17;1
"2017-01-08";9;2
"2017-01-09";21;2
"2017-01-10";17;1
"2017-01-11";11;2
"2017-01-12";20;2
"2017-01-13";20;2
"2017-01-14";17;3
"2017-01-15";17;3
"2017-01-16";13;4
"2017-01-17";14;5
"2017-01-18";17;5
"2017-01-19";15;3
"2017-01-20";19;5
"2017-01-21";14;3
"2017-01-22";17;5
"2017-01-23";22;5
"2017-01-24";22;5
"2017-01-25";22;6
"2017-01-26";16;10
"2017-01-27";12;9
"2017-01-28";23;5
"2017-01-29";20;5
"2017-01-30";18;6
"2017-01-31";17;11
"2017-02-01";13;7
"2017-02-02";11;8
"2017-02-03";16;6
"2017-02-04";19;8
"2017-02-05";19;9
"2017-02-06";22;9
"2017-02-07";19;11
"2017-02-08";21;9
"2017-02-09";21;9
"2017-02-10";11;8
"2017-02-11";22;6
"2017-02-12";21;9
"2017-02-13";16;7
"2017-02-14";10;8
"2017-02-15";9;6
"2017-02-16";10;7
"2017-02-17";10;6
"2017-02-18";14;10
"2017-02-19";19;9
"2017-02-20";21;7
"2017-02-21";17;5
"2017-02-22";17;6
"2017-02-23";15;9
"2017-02-24";15;8
"2017-02-25";11;5
"2017-02-26";14;4
"2017-02-27";16;5
"2017-02-28";17;7
"2017-03-01";11;10
"2017-03-02";12;9
"2017-03-03";8;8
"2017-03-04";15;9
"2017-03-05";17;7
"2017-03-06";14;10
"2017-03-07";16;11
"2017-03-08";15;13
"2017-03-09";10;12
"2017-03-10";10;8
"2017-03-11";17;7
"2017-03-12";11;6
"2017-03-13";14;11
"2017-03-14";12;10
"2017-03-15";21;9
"2017-03-16";14;13
"2017-03-17";14;7
"2017-03-18";11;10
"2017-03-19";22;7
"2017-03-20";10;12
"2017-03-21";10;11
"2017-03-22";17;10
"2017-03-23";22;11
"2017-03-24";22;9
"2017-03-25";19;9
"2017-03-26";17;7
"2017-03-27";20;11
"2017-03-28";17;12
"2017-03-29";20;8
"2017-03-30";17;8
"2017-03-31";21;7
"2017-04-01";15;8
"2017-04-02";22;8
"2017-04-03";17;7
"2017-04-04";22;8
"2017-04-05";21;11
"2017-04-06";15;13
"2017-04-07";13;8
"2017-04-08";19;10
"2017-04-09";13;9
"2017-04-10";20;8
"2017-04-11";15;7
"2017-04-12";16;8
"2017-04-13";17;6
"2017-04-14";22;6
"2017-04-15";11;6
"2017-04-16";22;5
"2017-04-17";10;6
"2017-04-18";12;8
"2017-04-19";17;14
"2017-04-20";9;9
"2017-04-21";21;7
"2017-04-22";20;11
"2017-04-23";18;12
"2017-04-24";22;12
"2017-04-25";15;11
"2017-04-26";14;13
"2017-04-27";10;10
"2017-04-28";18;10
"2017-04-29";20;9
"2017-04-30";19;9
"2017-05-01";19;12
"2017-05-02";20;13
"2017-05-03";13;15
"2017-05-04";13;10
"2017-05-05";20;10
"2017-05-06";16;10
"2017-05-07";13;12
"2017-05-08";13;14
"2017-05-09";22;11
"2017-05-10";22;12
"2017-05-11";14;17
"2017-05-12";22;11
"2017-05-13";22;9
